Geography,Geography code,Age,Orientation,Count,Percentage
Lisburn and Castlereagh,N09000007,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1013,7.6464372
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,All,29818,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,Straight or heterosexual,27141,91.0222014
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1155,3.8734992000000004
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1522,5.1042994
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,All,49643,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,Straight or heterosexual,46557,93.783615
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",628,1.2650322999999999
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2458,4.9513527
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,All,26214,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,Straight or heterosexual,23301,88.8876173
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",71,0.2708476
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,Prefer not to say/ Not stated,2842,10.8415351
Mid and East Antrim,N09000008,Usual residents aged 16 and over,All,113075,NA
Mid and East Antrim,N09000008,Usual residents aged 16 and over,Straight or heterosexual,102948,91.0439973
Mid and East Antrim,N09000008,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1763,1.5591422000000001
Mid and East Antrim,N09000008,Usual residents aged 16 and over,Prefer not to say/ Not stated,8364,7.396860500000001
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,All,13422,NA
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,Straight or heterosexual,11862,88.377291
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",533,3.9710922
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1027,7.6516167
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,All,24676,NA
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,Straight or heterosexual,22417,90.84535580000001
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",753,3.0515481
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1506,6.1030961
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,All,47637,NA
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,Straight or heterosexual,44452,93.3140206
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",420,0.8816676000000001
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2765,5.8043118
Mid and East Antrim,N09000008,Usual residents aged 65+ years,All,27340,NA
Mid and East Antrim,N09000008,Usual residents aged 65+ years,Straight or heterosexual,24217,88.5771763
Mid and East Antrim,N09000008,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",57,0.2084857
Mid and East Antrim,N09000008,Usual residents aged 65+ years,Prefer not to say/ Not stated,3066,11.214338
Mid Ulster,N09000009,Usual residents aged 16 and over,All,115660,NA
Mid Ulster,N09000009,Usual residents aged 16 and over,Straight or heterosexual,104123,90.02507349999999
Mid Ulster,N09000009,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1314,1.1360884999999998
Mid Ulster,N09000009,Usual residents aged 16 and over,Prefer not to say/ Not stated,10223,8.838838
Mid Ulster,N09000009,Usual residents aged 16-24 years,All,15881,NA
Mid Ulster,N09000009,Usual residents aged 16-24 years,Straight or heterosexual,14244,89.6920849
Mid Ulster,N09000009,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",402,2.5313267
Mid Ulster,N09000009,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1235,7.7765884
Mid Ulster,N09000009,Usual residents aged 25-39 years,All,30468,NA
Mid Ulster,N09000009,Usual residents aged 25-39 years,Straight or heterosexual,27217,89.3297886
Mid Ulster,N09000009,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",557,1.8281476
Mid Ulster,N09000009,Usual residents aged 25-39 years,Prefer not to say/ Not stated,2694,8.8420638
Mid Ulster,N09000009,Usual residents aged 40-64 years,All,46785,NA
Mid Ulster,N09000009,Usual residents aged 40-64 years,Straight or heterosexual,43143,92.21545370000001
Mid Ulster,N09000009,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",311,0.664743
Mid Ulster,N09000009,Usual residents aged 40-64 years,Prefer not to say/ Not stated,3331,7.1198033999999994
Mid Ulster,N09000009,Usual residents aged 65+ years,All,22526,NA
Mid Ulster,N09000009,Usual residents aged 65+ years,Straight or heterosexual,19519,86.6509811
Mid Ulster,N09000009,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",44,0.1953298
Mid Ulster,N09000009,Usual residents aged 65+ years,Prefer not to say/ Not stated,2963,13.1536891
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,All,141996,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,Straight or heterosexual,128383,90.4131102
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2099,1.4782107
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,Prefer not to say/ Not stated,11514,8.1086791
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,All,18969,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,Straight or heterosexual,16851,88.834414
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",629,3.3159365000000003
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1489,7.8496494
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,All,33564,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,Straight or heterosexual,30281,90.21868669999999
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",859,2.5592897
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,Prefer not to say/ Not stated,2424,7.222023599999999
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,All,59134,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,Straight or heterosexual,54746,92.57956510000001
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",539,0.9114891999999999
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,Prefer not to say/ Not stated,3849,6.5089458
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,All,30329,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,Straight or heterosexual,26505,87.3916054
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",72,0.23739659999999999
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,Prefer not to say/ Not stated,3752,12.3709981
Ards and North Down,N09000011,Usual residents aged 16 and over,All,133991,NA
Ards and North Down,N09000011,Usual residents aged 16 and over,Straight or heterosexual,122148,91.1613467
Ards and North Down,N09000011,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2619,1.9546089
Ards and North Down,N09000011,Usual residents aged 16 and over,Prefer not to say/ Not stated,9224,6.8840445
Ards and North Down,N09000011,Usual residents aged 16-24 years,All,14432,NA
Ards and North Down,N09000011,Usual residents aged 16-24 years,Straight or heterosexual,12686,87.9018847
Ards and North Down,N09000011,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",724,5.0166297
Ards and North Down,N09000011,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1022,7.0814856
Ards and North Down,N09000011,Usual residents aged 25-39 years,All,27868,NA
Ards and North Down,N09000011,Usual residents aged 25-39 years,Straight or heterosexual,25302,90.79230659999999
Ards and North Down,N09000011,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1104,3.9615329
Ards and North Down,N09000011,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1462,5.2461605
Ards and North Down,N09000011,Usual residents aged 40-64 years,All,55465,NA
Ards and North Down,N09000011,Usual residents aged 40-64 years,Straight or heterosexual,52010,93.7708465
Ards and North Down,N09000011,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",692,1.2476336
Ards and North Down,N09000011,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2763,4.9815198999999994
Ards and North Down,N09000011,Usual residents aged 65+ years,All,36226,NA
Ards and North Down,N09000011,Usual residents aged 65+ years,Straight or heterosexual,32150,88.7484127
Ards and North Down,N09000011,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",99,0.2732844
Ards and North Down,N09000011,Usual residents aged 65+ years,Prefer not to say/ Not stated,3977,10.978302900000001
